dex_number,name,form,evolves_from_id,evolves_from_form,type1,type2,stage,ability1,ability2,hidden_ability,hp,attack,defense,sp_attack,sp_defense,speed,evolution_method,mega,obtain_method,description
698,Amaura,,,,Rock,Ice,base,Refrigerate,,Snow Warning,77,59,50,67,63,46,,,,
699,Aurorus,,698,,Rock,Ice,evo,Refrigerate,,Snow Warning,123,77,72,99,92,58,"Level 39 (Oracle)",,,
840,Applin,,,,Grass,Dragon,base,Ripen,Gluttony,Bulletproof,40,40,80,40,40,20,,,,"Unique Mechanic: Gym-Based Evolution\nApplin evolves into different Pokemon depending on which gym you're in. Gyms are randomized in Emerald Blitz, so cross your fingers to get Fortree, Lavaridge, or Rustboro early,"
841,Flapple,,840,,Grass,Dragon,evo,Ripen,Gluttony,Hustle,70,110,80,95,60,70,"Level up in Fortree Gym",,,
842,Appletun,,840,,Grass,Dragon,evo,Ripen,Gluttony,Thick Fat,110,85,80,100,80,30,"Level up in Lavaridge Gym",,,
843,Dipplin,,840,,Grass,Dragon,evo,Supersweet Syrup,Gluttony,Sticky Hold,80,80,110,95,80,40,"Level up in Rustboro Gym",,,
844,Hydrapple,,843,,Grass,Dragon,evo,Supersweet Syrup,Regenerator,Sticky Hold,106,80,110,120,80,44,"Level 42",,,
566,Archen,,,,Rock,Flying,base,Defeatist,,,55,112,45,74,45,70,,,,
567,Archeops,,566,,Rock,Flying,evo,Defeatist,,,75,140,65,112,65,110,"Level 37 (Oracle)",,,
304,Aron,,,,Steel,Rock,base,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,,"Stage 2",,
305,Lairon,,304,,Steel,Rock,evo,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,"Level 32 (Guru)","Stage 2",,
306,Aggron,,305,,Steel,Rock,evo,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,"Level 42","Stage 2",,
306,Mega Aggron,Mega,306,,Steel,,mega,Filter,,,70,140,230,60,80,50,Aggronite,"Stage 2",,
