pokedex_id,pokemon_name,form,move_name,learn_method,species,display_order
698,Amaura,,Rock Throw,10,,1
698,Amaura,,Icy Wind,13,,2
698,Amaura,,Aurora Beam,20,,3
698,Amaura,,Ancient Power,26,,4
698,Amaura,,Freeze-Dry,Evo.,,5
698,Amaura,,Ice Beam,TM/56,,6
698,Amaura,,Thunderbolt,TM,,7
698,Amaura,,Thunder,TM,,8
698,Amaura,,Calm Mind,TM,,9
698,Amaura,,Water Pulse,TM,,10
698,Amaura,,Discharge,Egg,,11
840,Applin,,Bullet Seed,TM,,1
840,Applin,,Giga Drain,TM,,2
840,Applin,,Wing Attack,Evo.,Flapple,3
840,Applin,,Headbutt,Evo.,Appletun,4
840,Applin,,Double Hit,Evo.,Dipplin,5
840,Applin,,Growth,MR,,6
840,Applin,,Acrobatics,MR,Flapple,7
840,Applin,,Dragon Dance,24,Flapple,8
840,Applin,,Grav Apple,32,Flapple,9
840,Applin,,Dragon Rush,44,Flapple,10
840,Applin,,Leech Seed,MR/12,Flapple,11
840,Applin,,Leech Seed,MR/12,Appletun,12
840,Applin,,Apple Acid,28,Appletun,13
840,Applin,,Syrup Bomb,28,Dipplin,14
840,Applin,,Fickle Beam,Evo.,Hydrapple,15
840,Applin,,Sucker Punch,Egg,,16
566,Archen,,Pluck,15,,1
566,Archen,,Taunt,TM,,2
566,Archen,,Ancient Power,22,,3
566,Archen,,Rock Slide,25,,4
566,Archen,,Acrobatics,28,,5
566,Archen,,Hone Claws,TM,,6
566,Archen,,Earthquake,TM,,7
566,Archen,,Crunch,35,,8
566,Archen,,U-turn,45,,9
566,Archen,,Knock Off,Egg,,10
304,Aron,,Protect,16,,1
304,Aron,,Iron Head,22,,2
304,Aron,,Rock Slide,25,,3
304,Aron,,Hone Claws,TM,,4
304,Aron,,Earthquake,TM,,5
304,Aron,,Heavy Slam,57,,6
304,Aron,,Dragon Rush,Egg,,7
298,Azurill,,Charm,10,,1
298,Azurill,,Aqua Tail,21,,2
298,Azurill,,Play Rough,25,,3
298,Azurill,,Brick Break,TM,,4
298,Azurill,,Dig,TM,,5
298,Azurill,,Iron Tail,TM,,6
298,Azurill,,Encore,Egg,,7
371,Bagon,,Bite,10,,1
371,Bagon,,Dragon Breath,13,,2
371,Bagon,,Headbutt,17,,3
371,Bagon,,Dragon Claw,29,,4
371,Bagon,,Rock Slide,TM,,5
371,Bagon,,Return,TM,,6
371,Bagon,,Protect,30,,7
371,Bagon,,Hone Claws,TM,,8
371,Bagon,,Earthquake,TM,,9
371,Bagon,,Fly,HM,,10
371,Bagon,,Facade,TM,,11
371,Bagon,,Steel Wing,TM,,12
371,Bagon,,Hydro Pump,Egg,,13
374,Beldum,,Take Down,1,,1
374,Beldum,,Metal Claw,Evo.,,2
374,Beldum,,Bullet Punch,26,,3
374,Beldum,,Hone Claws,TM,,4
374,Beldum,,Brick Break,TM,,5
374,Beldum,,Earthquake,TM,,6
374,Beldum,,Zen Headbutt,32,,7
374,Beldum,,Meteor Mash,44,,8
688,Binacle,,Water Gun,4,,1
688,Binacle,,Ancient Power,28,,2
688,Binacle,,Brick Break,TM,,3
688,Binacle,,Earthquake,TM,,4
688,Binacle,,Rock Slide,TM,,5
688,Binacle,,Hone Claws,32,,6
688,Binacle,,Rock Tomb,TM,,7
688,Binacle,,Waterfall,HM,,8
688,Binacle,,Night Slash,44,,9
688,Binacle,,Cross Chop,55,,10
688,Binacle,,Stone Edge,MR!,,11
688,Binacle,,Tickle,Egg,,12
522,Blitzle,,Charge,8,,1
522,Blitzle,,Shock Wave,11,,2
522,Blitzle,,Flame Charge,18,,3
522,Blitzle,,Spark,25,,4
522,Blitzle,,Stomp,Evo.,,5
522,Blitzle,,Thunder,TM,,6
522,Blitzle,,Discharge,36,,7
522,Blitzle,,Overheat,TM,,8
522,Blitzle,,Wild Charge,47,,9
522,Blitzle,,Double Kick,Egg,,10
824,Blipbug,,Struggle Bug,1,,1
824,Blipbug,,Confusion,Evo.,Dottler,2
