3/24/2026

A (very) small patch ahead of this weekend's Ever Grande Prix debut!

-----------------------------------------------
Bug Fix
-----------------------------------------------

Fixed a bug where gym leaders were sometimes paying out less than the intended amount


-----------------------------------------------
"Solo Mode"
-----------------------------------------------

Interact with the television in your room to enable Solo Mode!

In this mode...
-You have 80 points to spend
-Pokémon cost points to withdraw from the notebook
-All Pokémon have neutral IVs and natures (including Eevee)
-You're given 8 ability capsules, which you can use to choose your Pokemon's starting abilities


Pokemon are assigned different costs based on how powerful they're perceived to be by the community. Current values are...
AMAURA, 6
APPLIN, 14
ARCHEN, 18
ARON, 10
BAGON, 12
BELDUM, 12
BLIPBUG, 8
BLITZLE, 4
BONSLY, 6
BOUNSWEET, 10
BUDEW, 14
BUIZEL, 6
BULBASAUR, 12
BUNEARY, 6
BUNNELBY, 8
BURMY, 6
CACNEA, 8
CARVANHA, 8
CASTFORM, 18
CETODDLE, 8
CHARCADET, 14
CHARMANDER, 12
CHESPIN, 12
CHEWTLE, 14
CHIMCHAR, 14
CHINCHOU, 14
CHINGLING, 8
CLAMPERL, 8
CLAUNCHER, 10
CLOBBOPUS, 6
CORPHISH, 10
CORSOLA, 10
COTTONEE, 12
CROAGUNK, 12
CUBONE, 6
CUFANT, 10
CUTIEFLY, 12
DEWPIDER, 10
DIGLETT, 6
DRIFLOON, 8
DRILBUR, 18
EKANS, 8
ELECTRIKE, 8
ELEKID, 8
ELGYEM, 6
EMOLGA, 10
ESPURR, 10
EXEGGCUTE, 12
FARFETCHD_, 10
FEEBAS, 10
FENNEKIN, 16
FIDOUGH, 12
FLABEBE, 10
FLETCHLING, 12
FRILLISH, 14
FROAKIE, 14
FUECOCO, 14
GASTLY, 8
GEODUDE, 8
GIBLE, 18
GOOMY, 10
GOSSIFLEUR, 10
GOTHITA, 6
GREAVARD, 10
GROWLITHE, 10
GRUBBIN, 8
HATENNA, 8
HELIOPTILE, 10
HIPPOPOTAS, 10
HONEDGE, 16
HORSEA, 10
HOUNDOUR, 10
IMPIDIMP, 10
INKAY, 10
JANGMO_O, 12
JOLTIK, 6
LARVITAR, 12
LILLIPUP, 12
LITLEO, 8
LITTEN, 12
LITWICK, 18
LOTAD, 12
MACHOP, 8
MAGBY, 8
MAGNEMITE, 16
MAKUHITA, 10
MANKEY, 12
MANTYKE, 10
MAREEP, 8
MAWILE, 12
MEDITITE, 12
MEOWTH_GALAR, 8
MIME_JR, 10
MINCCINO, 6
MINIOR_CORE, 16
MISDREAVUS, 12
MORELULL, 10
MUDBRAY, 16
MUDKIP, 18
MUNCHLAX, 12
MURKROW, 8
NICKIT, 6
NINCADA, 10
NOIBAT, 8
NOSEPASS, 10
NUMEL, 8
NYMBLE, 8
ODDISH, 10
ONIX, 10
PANCHAM, 8
PANSEAR, 6
PARAS, 6
PHANTUMP, 10
PHANPY, 10
PLUSLE_&_MINUN, 16
PICHU, 10
PIKIPEK, 8
PIPLUP, 14
POLIWAG, 12
PONYTA, 10
POOCHYENA, 10
POPPLIO, 16
PORYGON, 16
PURRLOIN, 6
RALTS, 20
REMORAID, 8
RIOLU, 16
ROCKRUFF, 8
ROGGENROLA, 6
ROLYCOLY, 8
ROOKIDEE, 10
ROTOM, 18
ROWLET, 12
SABLEYE, 8
SALANDIT, 10
SANDILE, 14
SANDSHREW_ALOLA, 8
SANDYGAST, 8
SCATTERBUG, 10
SCYTHER, 12
SEWADDLE, 10
SHELLDER, 6
SHINX, 10
SHROODLE, 8
SHROOMISH, 12
SHUPPET, 6
SIZZLIPEDE, 10
SKIDDO, 10
SKORUPI, 10
SKRELP, 6
SLAKOTH, 8
SLOWPOKE_GALAR, 10
SMEARGLE, 6
SMOLIV, 10
SNEASEL, 10
SNIVY, 12
SNORUNT, 6
SNOVER, 6
SNUBBULL, 8
SOLOSIS, 6
SPHEAL, 12
SPOINK, 8
SPRITZEE, 12
SQUIRTLE, 12
STANTLER, 10
STARLY, 12
STARYU, 10
STUFFUL, 10
SURSKIT, 10
SWINUB, 12
SWIRLIX, 10
TEDDIURSA, 12
TENTACOOL, 10
TIMBURR, 8
TINKATINK, 12
TIRTOUGA, 12
TORCHIC, 14
TOTODILE, 12
TRAPINCH, 12
TREECKO, 10
TRUBBISH, 6
TURTWIG, 14
TYMPOLE, 12
TYNAMO, 8
TYROGUE, 10
TYRUNT, 8
VAROOM, 14
VENIPEDE, 10
VOLTORB_HISUI, 10
VULPIX_ALOLA, 12
WATTREL, 12
WAILMER, 10
WEEDLE, 6
WINGULL, 12
WISHIWASHI, 12
WOOPER_PALDEA, 10
YAMPER, 6
YANMA, 8
ZIGZAGOON_GALAR, 16
ZORUA, 8
ZUBAT, 8
